
Processing unphys_event.cc...
50to80 1050


50to80 890


50to80 780


50to80 680


50to80 590


50to80 510
129.216,-2.20578
44.1822,-0.378067
98.0107,3.08224
68.7082,5.04025
51.8495,1.47433
76.553,-4.85458
82.5446,-8.87168
126.616,-8.94716
91.2616,-3.83527
51.0446,6.50656
288.623,18.617
41.6881,7.84157
43.5886,-8.35499
47.2836,-11.84
55.3997,7.41439
96.9782,11.4381
64.4348,-4.32589
96.1454,-11.0311
34.1114,-11.591


50to80 430
69.5606,-16.9036
62.5008,-0.245485
36.0583,3.46134
52.152,-12.7869
43.4832,1.17494
60.255,6.87487
49.8263,-5.25652
48.4948,0.965108
39.9929,17.6076
48.3951,-12.5497
60.1825,1.46449
42.0573,-7.1333
44.7841,19.6627
34.2883,4.49693
69.4171,-13.3925
44.9949,3.20356
70.633,-5.87929
75.1474,-6.15503
48.1364,-9.89363
37.0874,-1.67295
39.0135,3.32768
33.2967,-7.1926
42.0291,23.3401
45.8113,-4.54194
57.436,4.12326
43.835,5.32574
35.2736,-3.35366
48.3679,3.0661
35.2301,1.14046
53.8618,-2.33146
30.1604,-7.20917
24.5832,0.510822
137.722,-10.8965
52.2449,-8.78735
36.3827,-13.1293
65.0562,16.6982
29.9837,-5.96587
32.2546,20.0456
38.8925,15.3588
30.7277,6.0051
41.5347,11.7467
38.0699,-0.125677
67.7569,6.84863
39.2244,4.62904
42.559,7.90044
29.743,-3.03295
37.833,0.877237
36.8424,6.04351
50.3706,-13.9221
47.7654,-10.8291
110.006,-3.9177
73.5307,-5.81904
31.596,14.6334
32.9037,-3.2768
62.4258,6.91777
79.2066,-3.07055
47.6832,-2.90231
44.4459,-6.37307
30.2905,15.3594
30.4693,-1.7969
42.4113,7.31901
42.4791,8.92791
38.8164,8.81907
79.1834,0.799552
66.6875,3.44753
73.2371,-0.700417
27.8382,-15.7091
52.7789,-9.24142
27.4975,5.9742
40.7739,-3.24983
43.6812,-7.10516
39.3177,-20.8717
35.806,7.96609
52.5825,0.723766
47.1323,13.6841
34.6021,8.90469
108.986,-1.42893



80to120 1050


80to120 890


80to120 780


80to120 680
53.4031,-5.18151
83.9937,-2.22939
97.1009,4.40569
81.5931,9.18402
72.6082,2.26715
70.5984,-3.57468
67.2919,-2.78082
53.7614,7.27702
53.1424,0.662308
78.5073,4.57617
76.8994,6.50625
64.3747,-9.45091


80to120 590
72.5312,1.21922
36.5888,0.260418
114.19,-1.74813
82.4655,4.22745
79.0083,-6.08956
40.8139,3.37248
59.7001,-3.98537
69.1528,11.0779
37.4934,6.44903
41.6497,-6.15728
43.0828,-6.00959
57.5414,0.576596
52.6743,2.00501
108.584,-8.78506
138.899,-2.95268
46.1141,-3.70722
84.1723,21.4231
72.6047,5.41253
65.5519,10.19
69.6513,-19.1627
54.6631,-10.6675
67.9583,-19.439
35.4594,-19.2435
61.623,3.81084
63.8816,-3.55936
40.14,2.065
36.6729,-9.70002
118.284,-7.35186
24.9575,16.8248
103.061,5.32678
38.881,-2.13811
93.2024,0.450056
78.3231,6.65925
56.2668,0.495674
60.6505,1.24857


80to120 510
42.4597,5.1106
65.2383,13.1679
59.2952,-0.368443
46.1126,7.09584
62.1693,14.2191
87.7796,-0.185106
62.6565,-8.19595
68.8151,-11.6125
58.143,8.23898
116.212,9.303
58.5032,-2.03052
42.1908,10.4439
37.3653,3.24598
68.736,18.1268
54.0724,-3.68426
37.7827,3.30183
45.39,8.73172
87.6776,10.1402
83.1766,-12.735
51.3451,6.94172
53.187,1.98196
82.1698,-12.3049
48.5838,-4.97323
70.6642,5.61585
82.0639,-6.02582
62.0768,8.17329
75.1253,-20.4651
36.9992,16.9065
55.5191,12.5483
33.2134,-9.30879
85.0116,-10.2072
55.3015,-1.64209
54.9971,-14.5525
41.5543,-1.95175
44.6504,1.53255
53.8387,-6.69468
86.618,2.44358
45.1959,3.61473
36.1179,3.28107
67.4926,11.3897
36.6144,-2.89088
31.2274,1.35414
63.8178,18.9505
27.2819,-14.1647
32.4493,3.749
28.351,21.7366
85.3811,-3.45068
62.4211,9.77447
54.2823,-1.84019
30.5711,-8.32137
38.6906,-11.8966
40.3269,-1.55806
32.4285,7.29178
42.3439,12.5435
58.5035,8.6476
50.8194,2.82916
76.239,1.60748
79.9365,-2.26085
61.3733,1.61447
29.8433,-3.77808
33.0226,4.89852
98.5404,2.09974
57.488,7.53057
25.8601,4.21951
43.7052,-1.00814
31.976,-5.00076
91.4083,9.17297
98.1229,9.58815
55.8262,1.8937
68.1274,-14.6596
73.6126,13.7975
57.6272,-3.03032
73.8675,-3.71676
57.0444,21.7733
47.0384,4.51661
60.3342,-5.51387
55.1934,10.9198
38.6088,0.754193
29.6548,-9.64577
65.5853,-3.6171
51.0743,10.6106
88.8331,-2.94983
80.1399,-2.48174
64.9787,-7.92064
43.3089,2.63404
35.8298,-6.44411
72.8759,-22.3905
64.4221,-2.06111
55.9783,0.980429
54.767,-3.96815
60.4467,4.93723
62.5349,10.858
55.7419,-4.27371
50.4386,5.11345
50.017,11.6251
49.835,-9.61767
68.9726,-10.2842
56.8223,6.47604
37.2245,-1.67239
57.5985,-2.08174
58.0467,9.06624
70.1339,-6.09232
47.5856,5.70351
57.3324,-15.8085
39.0746,-16.6594
32.4252,-7.80014
41.6558,-3.63078
59.3839,14.5882
63.3963,-9.14314
71.4301,-1.18444
98.7654,5.98046
43.1583,-12.4319
40.2047,3.01802
48.3602,5.83708
58.7203,-3.0888
39.2162,-8.47039
77.2334,-2.47276
29.8131,5.55146
51.1077,1.33756
81.2051,7.34754
44.0271,-14.1346
45.3219,-10.5752
45.6762,0.070305
65.0516,0.238882
63.8163,-8.5293
28.1037,-2.50677
52.9969,-8.10829
58.5366,-2.58199
64.7688,-2.00803
46.9172,-3.44525
67.555,4.0057
29.6875,-5.62034
